OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Longitude,Latitude
140,0.0475842911325,0.000114203907779,Lenox Hill East,140,Manhattan,-73.9585433,40.7584956
141,0.0415144638712,0.000076654557902,Lenox Hill West,141,Manhattan,-73.96177668,40.7598797
142,0.0381758942321,0.000075653792074,Lincoln Square East,142,Manhattan,-73.98147899,40.7677251
143,0.0541798538849,0.00015109426901,Lincoln Square West,143,Manhattan,-73.98162787,40.7803289
144,0.0276201668505,0.000047478967037,Little Italy/NoLiTa,144,Manhattan,-73.99580912,40.7166447
145,0.114313844981,0.000346641733797,Long Island City/Hunters Point,145,Queens,-73.94345412,40.7520536
146,0.0471405215717,0.000104638923425,Long Island City/Queens Plaza,146,Queens,-73.93675697,40.749147
147,0.0587654949268,0.000106418172757,Longwood,147,Bronx,-73.89515278,40.8278343
148,0.0391305015633,0.000069748992133,Lower East Side,148,Manhattan,-73.98447732,40.7202342
149,0.0836805821837,0.000270639618955,Madison,149,Brooklyn,-73.94405561,40.6119928
150,0.089331491183,0.000332568036088,Manhattan Beach,150,Brooklyn,-73.93019078,40.5850856
151,0.0548899410999,0.000128848901918,Manhattan Valley,151,Manhattan,-73.96371096,40.7930129
152,0.0579094768782,0.000146637644064,Manhattanville,152,Manhattan,-73.95357263,40.8219759
153,0.024737239022,0.000032468496482,Marble Hill,153,Manhattan,-73.90666531,40.8757156
154,0.22733157076,0.00178968692433,Marine Park/Floyd Bennett Field,154,Brooklyn,-73.93531145,40.60886
155,0.169808473032,0.000868261018498,Marine Park/Mill Basin,155,Brooklyn,-73.90464209,40.6251332
156,0.144476890476,0.0010521217443,Mariners Harbor,156,Staten Island,-74.17989568,40.6452688
157,0.131300217777,0.000354370128323,Maspeth,157,Queens,-73.89783237,40.7351604
158,0.0548099905515,0.000185568253002,Meatpacking/West Village West,158,Manhattan,-74.00779116,40.7419708
159,0.064363233206,0.00017124910387,Melrose South,159,Bronx,-73.91189155,40.8221415
160,0.14151914297,0.000571234977994,Middle Village,160,Queens,-73.86970765,40.7251464
161,0.0358039100611,0.000071913068299,Midtown Center,161,Manhattan,-73.97534378,40.7552997
162,0.0352698146219,0.000047893696211,Midtown East,162,Manhattan,-73.97121704,40.7551933
163,0.0341768669752,0.00004085678042,Midtown North,163,Manhattan,-73.98136214,40.7678367
164,0.0357716119908,0.000055631823744,Midtown South,164,Manhattan,-73.9836252,40.7439431
165,0.088608036213,0.000353959317019,Midwood,165,Brooklyn,-73.96014773,40.6289152
166,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,-73.95707738,40.8142981
167,0.0908159737292,0.000167529391193,Morrisania/Melrose,167,Bronx,-73.89690018,40.8310333
168,0.114517434155,0.000547058100444,Mott Haven/Port Morris,168,Bronx,-73.92480954,40.815659
169,0.0601046580332,0.000146027537733,Mount Hope,169,Bronx,-73.89816577,40.8551464
170,0.0457690091051,0.000074315067597,Murray Hill,170,Manhattan,-73.97203331,40.745805
171,0.107353876244,0.000520099538161,Murray Hill-Queens,171,Queens,-73.79317945,40.7704032
172,0.118476116148,0.000658402501406,New Dorp/Midland Beach,172,Staten Island,-74.08654859,40.5696323
173,0.0600639661414,0.000178329851357,North Corona,173,Queens,-73.85540366,40.7583403
174,0.0678177559602,0.000155928664422,Norwood,174,Bronx,-73.87772818,40.8834542
175,0.134897665102,0.000504920726134,Oakland Gardens,175,Queens,-73.75625606,40.7584305
176,0.151995190703,0.000657782126267,Oakwood,176,Staten Island,-74.12187199,40.5751076
177,0.0715805407056,0.000198894762248,Ocean Hill,177,Brooklyn,-73.9028708,40.6786314
178,0.0682528770739,0.000175805409143,Ocean Parkway South,178,Brooklyn,-73.97080408,40.6259327
179,0.0713808644377,0.000183893478476,Old Astoria,179,Queens,-73.93290348,40.7779445
180,0.0805277671523,0.000247682193353,Ozone Park,180,Queens,-73.84119606,40.6833514
181,0.0895372399547,0.000306890292807,Park Slope,181,Brooklyn,-73.97583132,40.6658151
182,0.0393606369479,0.000091064415673,Parkchester,182,Bronx,-73.85465136,40.833888
183,0.0398262960348,0.000095192945107,Pelham Bay,183,Bronx,-73.83676644,40.843386
184,0.260815683043,0.00198883363103,Pelham Bay Park,184,Bronx,-73.80728647,40.8859318
185,0.0861619681636,0.000228537100218,Pelham Parkway,185,Bronx,-73.84004614,40.8578063
186,0.0246963902234,0.000037072941695,Penn Station/Madison Sq West,186,Manhattan,-73.99096833,40.7454209
187,0.126868431324,0.000421195755741,Port Richmond,187,Staten Island,-74.1343527,40.6418868
188,0.0977983968367,0.000313003032771,Prospect-Lefferts Gardens,188,Brooklyn,-73.95729173,40.6643026
189,0.0486743306502,0.000101427594033,Prospect Heights,189,Brooklyn,-73.96070974,40.6731214
190,0.0743294660829,0.000270873666522,Prospect Park,190,Brooklyn,-73.96307724,40.6621302
191,0.130932637664,0.000688460603185,Queens Village,191,Queens,-73.73016587,40.7239586
192,0.11196461971,0.000373808019026,Queensboro Hill,192,Queens,-73.82239599,40.7498642
193,0.0655299584801,0.000145591657944,Queensbridge/Ravenswood,193,Queens,-73.93522718,40.7695257
194,0.0817938353532,0.000273481702719,Randalls Island,194,Manhattan,-73.91639853,40.7976848
195,0.131308244067,0.000801651953985,Red Hook,195,Brooklyn,-74.0071711,40.686357
196,0.0832421106332,0.0001974713336,Rego Park,196,Queens,-73.85762924,40.7286069
197,0.108568532229,0.000504689160432,Richmond Hill,197,Queens,-73.83696238,40.7042125
198,0.134094242763,0.000499809882564,Ridgewood,198,Queens,-73.90768387,40.7173797
199,0.0778085005169,0.000288747549303,Rikers Island,199,Bronx,-73.88885148,40.7987063
200,0.112661735435,0.000744643168558,Riverdale/North Riverdale/Fieldston,200,Bronx,-73.89641134,40.9045045
201,0.130404117686,0.000619350747819,Rockaway Park,201,Queens,-73.81849902,40.5873624
202,0.0699215712618,0.000106175396322,Roosevelt Island,202,Manhattan,-73.94180033,40.7690469
203,0.189937815868,0.000615129861659,Rosedale,203,Queens,-73.727535,40.6739303
204,0.101912418311,0.000641384265972,Rossville/Woodrow,204,Staten Island,-74.2032649,40.5556285
205,0.141953388327,0.000766216513505,Saint Albans,205,Queens,-73.76636925,40.7025634
206,0.212756793386,0.000944392507762,Saint George/New Brighton,206,Staten Island,-74.08221273,40.6482802
207,0.0283756831492,0.000044723084844,Saint Michaels Cemetery/Woodside,207,Queens,-73.9013764,40.759642
208,0.214721009581,0.00202032598969,Schuylerville/Edgewater Park,208,Bronx,-73.82598687,40.8406758
209,0.0306953113473,0.000038870335121,Seaport,209,Manhattan,-74.00499805,40.7120119
210,0.114851983372,0.000453155131253,Sheepshead Bay,210,Brooklyn,-73.92759937,40.5950608
211,0.0252345082132,0.000039729196609,SoHo,211,Manhattan,-74.00152364,40.7198208
212,0.0671290653429,0.000161276191858,Soundview/Bruckner,212,Bronx,-73.88421977,40.8229965
213,0.159958783822,0.000904077906339,Soundview/Castle Hill,213,Bronx,-73.83667856,40.8175888
214,0.135300314246,0.000811976523012,South Beach/Dongan Hills,214,Staten Island,-74.0849102,40.5957047
215,0.103556453625,0.000395647022725,South Jamaica,215,Queens,-73.77691038,40.7025249
216,0.116797554681,0.000816076647781,South Ozone Park,216,Queens,-73.80857655,40.6883309
217,0.0553905251285,0.000114733270758,South Williamsburg,217,Brooklyn,-73.95554166,40.7075934
218,0.0837008281049,0.000281293736407,Springfield Gardens North,218,Queens,-73.76561573,40.674779
219,0.155126669675,0.000428176336771,Springfield Gardens South,219,Queens,-73.76182231,40.6668778
220,0.106015943267,0.000313035744467,Spuyten Duyvil/Kingsbridge,220,Bronx,-73.89827217,40.8894579
221,0.166218220846,0.000890111567051,Stapleton,221,Staten Island,-74.0753055,40.63773
222,0.0483893527976,0.000130268343918,Starrett City,222,Brooklyn,-73.87908517,40.6502021
223,0.166021925275,0.00076436070058,Steinway,223,Queens,-73.90649493,40.790181
224,0.0440204462769,0.000098478698914,Stuy Town/Peter Cooper Village,224,Manhattan,-73.97511055,40.7353903
225,0.0887992073281,0.000310835395162,Stuyvesant Heights,225,Brooklyn,-73.91741294,40.6840341
